id,id2,name,HC01_EST_VC01,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC19,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC27,HC01_EST_VC28,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36
Id,Id2,Geography,Total employed population,Management,Business and financial operations,Computer and mathematics,Architecture and engineering,"Life, physical, and social science",Community and social services,Legal,"Education, training, and library","Arts, design, entertainment, sports, and media",Health diagnosing and treating practitioners,Health technologists and technicians,Healthcare support,Fire fighting and prevention,Law enforcement,Food preparation and serving,Building and grounds cleaning and maintenance,Personal care and service occupations,Sales,Office and administrative support,"Farming, fishing, and forestry",Construction and extraction,"Installation, maintenance, and repair",Production,Transportation,Material moving
0400000US32,32,Nevada,1267312,101977,47601,21780,13780,7013,13266,12005,54068,25473,36589,17692,23294,29628,10960,129147,79819,79163,152386,177167,3129,64696,42427,44237,48246,31769
0400000US33,33,New Hampshire,698810,75569,33081,24719,18424,5636,11217,5633,48762,11578,30398,13316,15142,6362,5011,37037,23468,23085,79100,90058,2690,36743,23701,43748,21770,12562
0400000US34,34,New Jersey,4281760,471453,252834,161670,69640,40606,70743,62103,289065,84911,178499,69887,103278,57788,46640,202224,154951,151462,474395,585167,8038,185571,115058,170674,167792,107311
0400000US35,35,New Mexico,876035,78750,31765,16898,19540,12233,16776,10264,59915,15472,32991,15273,23489,13142,10978,57389,38184,39419,88163,115417,9486,56881,32799,33093,31402,16316
0400000US36,36,New York,9254578,891755,472107,213778,124825,79913,186735,161759,664350,284477,392210,156047,323412,142878,118955,514919,387264,392035,976258,1222703,23041,418702,231555,362614,353781,158505
0400000US37,37,North Carolina,4372773,429137,196938,114852,67814,41239,80646,36419,279066,72027,177796,87293,121466,45507,46717,253703,170747,133911,485709,538105,31395,224584,154770,318508,149314,115110
0400000US38,38,North Dakota,387716,46260,14874,5837,6159,3460,6313,3144,22786,4431,15680,6729,11236,2829,2933,20316,13204,15161,37050,50227,6575,27468,16982,21001,17535,9526
0400000US39,39,Ohio,5366673,501053,245966,125476,98273,39505,89747,48497,305814,79695,231974,115496,159474,54954,42962,329227,188889,168090,547260,735512,17094,221547,173872,459996,199833,186467
0400000US40,40,Oklahoma,1719541,155697,70697,30797,26489,11090,34788,17081,103873,22979,62187,36240,44586,19329,15998,99771,67760,56089,175706,240430,11589,117513,71408,120502,62353,44589
0400000US41,41,Oregon,1789807,183789,80327,49851,39863,17860,34997,17733,100668,41160,68914,27011,41638,17832,11875,113841,68009,80769,186482,232995,34254,74163,50446,107755,61645,45930
